,id,name,review_count,rating,price,latitude,longitude,address,city,state,country,zip_code,cuisines
722,iOMvXQYFl6_mtw0wX6ZUXw,Forbidden Root,586,4.5,2,41.89628,-87.671551,1746 W Chicago Ave,Chicago,IL,US,60622,"Brewpubs, Tapas/Small Plates, Cocktail Bars"
723,b2N01JkMCWNYy1D2uH341A,Wazwan - Chicago,117,4.5,2,41.90354,-87.67166,1742 W Division St,Chicago,IL,US,60607,"Indian, Halal"
724,m5gfWEQI7BYTKWMYF-X-Ug,No Vacancy,50,4.5,2,41.89115,-87.63375,509 N Wells St,Chicago,IL,US,60654,"American (New), Wine Bars, Beer, Wine & Spirits"
725,IqJKz6-IBIbcfUcotMXO8Q,Cafe Istanbul,278,4.5,2,41.9034987,-87.6778866,2014 W Division St,Chicago,IL,US,60622,"Turkish, Mediterranean"
726,xJEA6P6VS-Ukl9dmjleDkw,Silli Kori,342,4.5,2,41.90286,-87.67935,2053 W Division St,Chicago,IL,US,60622,"Thai, Asian Fusion"
727,faOpq9ORL0FlsMrou2NYug,Amaru,379,4.5,3,41.910699,-87.675507,1904 W North Ave,Chicago,IL,US,60622,"Latin American, Caribbean, Cocktail Bars"
728,bQDXNksi5lQ4YRv0kGSzjQ,The Welcome Back Lounge,82,4.5,2,41.92549,-87.701022,2423 N Milwaukee Ave,Chicago,IL,US,60647,"Bars, American (Traditional)"
729,f3mkFF9TW4nSSCmHw3N97A,Testaccio,136,4.5,3,41.9265,-87.6978,2456 N California Ave,Chicago,IL,US,60647,"Italian, Mediterranean"
730,OLLCYpaF_cWzrZ-Hd7FYMQ,Lardon,111,4.5,2,41.921891836367266,-87.69749321372282,2200 N California Ave,Chicago,IL,US,60647,"Cafes, Sandwiches, Wine Bars"
731,V2jEs7sH44pcG1J9x59f9w,Dove's Luncheonette,745,4.0,2,41.909487,-87.677293,1545 N Damen Ave,Chicago,IL,US,60622,"Southern, Tex-Mex, Breakfast & Brunch"
732,CGz_5rdiR6RQdmScqS0XcA,1308 Chicago,24,5.0,3,41.90591,-87.65993,1308 N Elston Ave,Chicago,IL,US,60642,"American (New), Comfort Food, Cocktail Bars"
733,xoi7Cw7FoknAx5p880RtWQ,Au Cheval,8607,4.5,2,41.88466,-87.647668,800 W Randolph St,Chicago,IL,US,60607,"Bars, American (Traditional)"
734,T4j4q9Z3OFTTBA39Uv6lLA,Bad Habit,10,4.5,3,41.9188328905871,-87.68991989999999,2047 N Milwaukee Ave,Chicago,IL,US,60647,"Cocktail Bars, Burgers"
735,xFBQ1md6PDm7YEpJARoxAA,The VIG Chicago,778,4.0,2,41.9099251,-87.6345035,1527 N Wells St,Chicago,IL,US,60610,"American (Traditional), Cocktail Bars"
736,umw3lIhc_h9DUGjN0DklxQ,The Delta,459,4.0,2,41.91032,-87.67186,1745 W North Ave,Chicago,IL,US,60622,"Southern, Cocktail Bars, Breakfast & Brunch"
737,kUpqpEqkBjZguS1uA6NQYA,En Hakkore 2.0,571,4.5,2,41.90859268098761,-87.67442096514347,1467 N Milwaukee Ave,Chicago,IL,US,60622,"Asian Fusion, Poke, Sushi Bars"
738,FzYi3AVHoYZnWXe1BQrQEw,Mott St,945,4.0,2,41.9071254164458,-87.6673834605751,1401 N Ashland Ave,Chicago,IL,US,60622,"Asian Fusion, Bars"
739,r4V4cl1TGN2C_qC51YpEMA,Barcocina West Town,68,4.0,3,41.896263,-87.672913,1814 W Chicago Ave,Chicago,IL,US,60622,"Tacos, New Mexican Cuisine, Tapas/Small Plates"
740,riT822EnU7y_5eCuJsd9sA,Cindy's Rooftop,2270,4.0,2,41.8816894031196,-87.6250061730162,12 S Michigan Ave,Chicago,IL,US,60603,"American (New), Seafood, Breakfast & Brunch"
741,m5_GCJP2W4zEJnyVgxa3eA,Longman & Eagle,2560,4.0,2,41.930156679293,-87.707222394898,2657 N Kedzie Ave,Chicago,IL,US,60647,"Gastropubs, Whiskey Bars"
742,dro6ttzG0H2PlES0gI8LIg,Tortello,405,4.5,2,41.90343739642855,-87.67186413269891,1746 W Division St,Chicago,IL,US,60622,"Pasta Shops, Italian"
743,ruWJerAc9VW23GvegYddnQ,Gaijin,604,4.5,2,41.88583,-87.65182,950 W Lake St,Chicago,IL,US,60607,Japanese
744,DeNcVk-vHsRj2f7aovoaLg,Jack’s Wicker Park,68,4.0,3,41.90346,-87.67947,2056 W Division St,Chicago,IL,US,60622,"French, Bars, Sandwiches"
745,XHGWwHgX9p8dn2nOhqfJoQ,Little Wok Wicker Park,109,4.0,2,41.90351,-87.6768,1950 W Division St,Chicago,IL,US,60622,"Asian Fusion, Chinese, Sushi Bars"
746,KVXeukiPVOwrOMuD4mM7ug,Tandoor Char House,12,4.5,3,41.90009,-87.68733,1022 N Western Ave,Chicago,IL,US,60622,"Indian, Pakistani, Halal"
747,8YZUf9XTc9Z2jW5adHE5nA,Shabu Plus Rotary Hot Pot Wicker Park,73,4.5,3,41.9062306,-87.6713937,1352 N Milwaukee Ave,Chicago,IL,US,60622,Hot Pot
748,EYjyi_lytYaM1Ty7-kNKSg,Phodega,245,4.5,2,41.90334127310094,-87.6758734,1924 W Division St,Chicago,IL,US,60622,"Vietnamese, Hainan, Noodles"
749,UzksnYYQvh2tThSGTqUslA,2AM Izakaya,31,4.5,3,41.92228,-87.64465,2218 N Lincoln Ave,Chicago,IL,US,60614,"Japanese, Sushi Bars, Chinese"
750,qjnpkS8yZO8xcyEIy5OU9A,Girl & The Goat,9964,4.5,3,41.88418081770163,-87.64794679938692,809 W Randolph,Chicago,IL,US,60607,"American (New), Bakeries, Coffee & Tea"
751,boE4Ahsssqic7o5wQLI04w,The Purple Pig,8287,4.5,3,41.890694,-87.624782,444 N Michigan Ave,Chicago,IL,US,60611,"Tapas/Small Plates, Mediterranean, American (New)"
752,okaqMJEoHfHblpKz9Q-CMA,The Perch,454,4.5,2,41.90348,-87.676221,1932 W Division,Chicago,IL,US,60622,"Breweries, American (New)"
753,hMNHD9LHs_R3vFCfTOGorw,Izakaya Shinya,63,4.5,3,41.91014,-87.68452,2255 W North Ave,Chicago,IL,US,60647,"Ramen, Cocktail Bars, Izakaya"
754,W2QV6SILHer3qB_-CZ1z1A,etta - Bucktown,1034,4.5,3,41.910731,-87.674285,1840 W North Ave,Chicago,IL,US,60622,"Pizza, American (New), Breakfast & Brunch"
755,VPJk-SEWSWS_nGoQvM-COw,Penumbra,849,5.0,2,41.924426,-87.710898,3309 W Fullerton Ave,Chicago,IL,US,60647,"Wine Bars, Seafood, Steakhouses"
756,PZe0q_153VHUnaR-8dOTJg,The Dearborn,2143,4.5,2,41.8842528,-87.6293151,145 N Dearborn St,Chicago,IL,US,60602,"American (Traditional), Breakfast & Brunch, Beer, Wine & Spirits"
757,0qW7MJ0trxnoWzCHBiBgbQ,Union,51,4.5,3,41.9218,-87.69769,2202 N California Ave,Chicago,IL,US,60647,"American (New), Pubs"
758,zm6Peew9j8YtowzUu4sQfA,The Whale Chicago,915,4.0,2,41.92555,-87.70112,2427 N Milwaukee Ave,Chicago,IL,US,60647,American (New)
759,0ucCbCekcn5XdzvRXnHl2w,Desert Hawk,9,5.0,3,41.90288666670101,-87.67917606979607,2049 W Division St,Chicago,IL,US,60622,"American (Traditional), Bars"
760,VIV1fLOzjtzBeQwJBPIN2w,Lone Owl Pub,18,4.5,3,41.90976697949441,-87.67605189999999,1547 N Milwaukee Ave,Chicago,IL,US,60622,"Cocktail Bars, Lounges, Burgers"
761,wfkj7DK8YzhdwhhFc2OntA,Giant,640,4.5,3,41.9171,-87.70746,3209 W Armitage Ave,Chicago,IL,US,60647,"American (New), Beer Bar, Wine Bars"
762,ngB0iQM1Yz7Nx_tQZqU7NA,Daisies,441,4.5,3,41.924443845390954,-87.69964666704485,2375 N Milwaukee Ave,Chicago,IL,US,60647,"Pasta Shops, American (New), Cocktail Bars"
763,0IYXh7l_VppKw5y97FehoA,Kasama,640,4.5,2,41.899692,-87.6756,1001 N Winchester Ave,Chicago,IL,US,60622,"Filipino, Bakeries, American (New)"
764,ERYEi0job-Kwca1lkOcRhg,NoodleBird,75,4.5,3,41.93194357461772,-87.7023888774715,2957 W Diversey,Chicago,IL,US,60647,"Asian Fusion, Noodles"
765,HuB9hjq-X4LEEqxN2RhAVw,Kama,11,4.5,3,41.90971,-87.676833,1560 N Milwaukee Ave,Chicago,IL,US,60622,"Indian, Beer Bar, Cocktail Bars"
766,HaX1xkisTWetyKUkuBAzzQ,Mother’s Ruin,66,4.5,2,41.93495,-87.71647,2943 N Milwaukee Ave,Chicago,IL,US,60618,"American (New), Burgers, Cocktail Bars"
767,4i1Ny2zIE1VJSU9gLMkHqg,Lula Cafe,2179,4.5,2,41.927668036295,-87.706845233929,2537 N Kedzie Blvd,Chicago,IL,US,60647,"American (New), Breakfast & Brunch, Desserts"
768,D3tJ-N85kZddAwetQHTpkQ,Dell Rooster - Chicago,97,5.0,2,41.89575636351244,-87.67324000597,1825 W Chicago Ave,Chicago,IL,US,60622,"Latin American, Breakfast & Brunch, Sandwiches"
769,qUhMEd8oDAwGqBEF9mNKFQ,Andros Taverna,305,4.0,3,41.92733834914246,-87.7049751842139,2542 N Milwaukee,Chicago,IL,US,60647,"Greek, Mediterranean, Seafood"
770,hBb2RcUVumohfY2kbGKvKQ,Hide+Seek,140,4.0,3,41.88466,-87.64899,838 W Randolph St,Chicago,IL,US,60607,"American (New), Venues & Event Spaces, Cocktail Bars"
771,8XNGM8f0QLSOqDEactfigA,Split-Rail,295,4.5,2,41.8959276538074,-87.6895823702216,2500 W Chicago Ave,Chicago,IL,US,60622,"American (Traditional), Cocktail Bars, Chicken Wings"
772,iOMvXQYFl6_mtw0wX6ZUXw,Forbidden Root,586,4.5,2,41.89628,-87.671551,1746 W Chicago Ave,Chicago,IL,US,60622,"Brewpubs, Tapas/Small Plates, Cocktail Bars"
773,b2N01JkMCWNYy1D2uH341A,Wazwan - Chicago,117,4.5,2,41.90354,-87.67166,1742 W Division St,Chicago,IL,US,60607,"Indian, Halal"
774,m5gfWEQI7BYTKWMYF-X-Ug,No Vacancy,50,4.5,2,41.89115,-87.63375,509 N Wells St,Chicago,IL,US,60654,"American (New), Wine Bars, Beer, Wine & Spirits"
775,IqJKz6-IBIbcfUcotMXO8Q,Cafe Istanbul,278,4.5,2,41.9034987,-87.6778866,2014 W Division St,Chicago,IL,US,60622,"Turkish, Mediterranean"
776,xJEA6P6VS-Ukl9dmjleDkw,Silli Kori,342,4.5,2,41.90286,-87.67935,2053 W Division St,Chicago,IL,US,60622,"Thai, Asian Fusion"
777,faOpq9ORL0FlsMrou2NYug,Amaru,379,4.5,3,41.910699,-87.675507,1904 W North Ave,Chicago,IL,US,60622,"Latin American, Caribbean, Cocktail Bars"
778,bQDXNksi5lQ4YRv0kGSzjQ,The Welcome Back Lounge,82,4.5,2,41.92549,-87.701022,2423 N Milwaukee Ave,Chicago,IL,US,60647,"Bars, American (Traditional)"
779,f3mkFF9TW4nSSCmHw3N97A,Testaccio,136,4.5,3,41.9265,-87.6978,2456 N California Ave,Chicago,IL,US,60647,"Italian, Mediterranean"
780,OLLCYpaF_cWzrZ-Hd7FYMQ,Lardon,111,4.5,2,41.921891836367266,-87.69749321372282,2200 N California Ave,Chicago,IL,US,60647,"Cafes, Sandwiches, Wine Bars"
781,V2jEs7sH44pcG1J9x59f9w,Dove's Luncheonette,745,4.0,2,41.909487,-87.677293,1545 N Damen Ave,Chicago,IL,US,60622,"Southern, Tex-Mex, Breakfast & Brunch"
782,CGz_5rdiR6RQdmScqS0XcA,1308 Chicago,24,5.0,3,41.90591,-87.65993,1308 N Elston Ave,Chicago,IL,US,60642,"American (New), Comfort Food, Cocktail Bars"
783,xoi7Cw7FoknAx5p880RtWQ,Au Cheval,8607,4.5,2,41.88466,-87.647668,800 W Randolph St,Chicago,IL,US,60607,"Bars, American (Traditional)"
784,T4j4q9Z3OFTTBA39Uv6lLA,Bad Habit,10,4.5,3,41.9188328905871,-87.68991989999999,2047 N Milwaukee Ave,Chicago,IL,US,60647,"Cocktail Bars, Burgers"
785,xFBQ1md6PDm7YEpJARoxAA,The VIG Chicago,778,4.0,2,41.9099251,-87.6345035,1527 N Wells St,Chicago,IL,US,60610,"American (Traditional), Cocktail Bars"
786,umw3lIhc_h9DUGjN0DklxQ,The Delta,459,4.0,2,41.91032,-87.67186,1745 W North Ave,Chicago,IL,US,60622,"Southern, Cocktail Bars, Breakfast & Brunch"
787,kUpqpEqkBjZguS1uA6NQYA,En Hakkore 2.0,571,4.5,2,41.90859268098761,-87.67442096514347,1467 N Milwaukee Ave,Chicago,IL,US,60622,"Asian Fusion, Poke, Sushi Bars"
788,FzYi3AVHoYZnWXe1BQrQEw,Mott St,945,4.0,2,41.9071254164458,-87.6673834605751,1401 N Ashland Ave,Chicago,IL,US,60622,"Asian Fusion, Bars"
789,r4V4cl1TGN2C_qC51YpEMA,Barcocina West Town,68,4.0,3,41.896263,-87.672913,1814 W Chicago Ave,Chicago,IL,US,60622,"Tacos, New Mexican Cuisine, Tapas/Small Plates"
790,riT822EnU7y_5eCuJsd9sA,Cindy's Rooftop,2270,4.0,2,41.8816894031196,-87.6250061730162,12 S Michigan Ave,Chicago,IL,US,60603,"American (New), Seafood, Breakfast & Brunch"
791,m5_GCJP2W4zEJnyVgxa3eA,Longman & Eagle,2560,4.0,2,41.930156679293,-87.707222394898,2657 N Kedzie Ave,Chicago,IL,US,60647,"Gastropubs, Whiskey Bars"
792,dro6ttzG0H2PlES0gI8LIg,Tortello,405,4.5,2,41.90343739642855,-87.67186413269891,1746 W Division St,Chicago,IL,US,60622,"Pasta Shops, Italian"
793,ruWJerAc9VW23GvegYddnQ,Gaijin,604,4.5,2,41.88583,-87.65182,950 W Lake St,Chicago,IL,US,60607,Japanese
794,DeNcVk-vHsRj2f7aovoaLg,Jack’s Wicker Park,68,4.0,3,41.90346,-87.67947,2056 W Division St,Chicago,IL,US,60622,"French, Bars, Sandwiches"
795,XHGWwHgX9p8dn2nOhqfJoQ,Little Wok Wicker Park,109,4.0,2,41.90351,-87.6768,1950 W Division St,Chicago,IL,US,60622,"Asian Fusion, Chinese, Sushi Bars"
796,KVXeukiPVOwrOMuD4mM7ug,Tandoor Char House,12,4.5,3,41.90009,-87.68733,1022 N Western Ave,Chicago,IL,US,60622,"Indian, Pakistani, Halal"
797,8YZUf9XTc9Z2jW5adHE5nA,Shabu Plus Rotary Hot Pot Wicker Park,73,4.5,3,41.9062306,-87.6713937,1352 N Milwaukee Ave,Chicago,IL,US,60622,Hot Pot
798,EYjyi_lytYaM1Ty7-kNKSg,Phodega,245,4.5,2,41.90334127310094,-87.6758734,1924 W Division St,Chicago,IL,US,60622,"Vietnamese, Hainan, Noodles"
799,UzksnYYQvh2tThSGTqUslA,2AM Izakaya,31,4.5,3,41.92228,-87.64465,2218 N Lincoln Ave,Chicago,IL,US,60614,"Japanese, Sushi Bars, Chinese"
800,qjnpkS8yZO8xcyEIy5OU9A,Girl & The Goat,9964,4.5,3,41.88418081770163,-87.64794679938692,809 W Randolph,Chicago,IL,US,60607,"American (New), Bakeries, Coffee & Tea"
801,boE4Ahsssqic7o5wQLI04w,The Purple Pig,8287,4.5,3,41.890694,-87.624782,444 N Michigan Ave,Chicago,IL,US,60611,"Tapas/Small Plates, Mediterranean, American (New)"
802,okaqMJEoHfHblpKz9Q-CMA,The Perch,454,4.5,2,41.90348,-87.676221,1932 W Division,Chicago,IL,US,60622,"Breweries, American (New)"
803,hMNHD9LHs_R3vFCfTOGorw,Izakaya Shinya,63,4.5,3,41.91014,-87.68452,2255 W North Ave,Chicago,IL,US,60647,"Ramen, Cocktail Bars, Izakaya"
804,W2QV6SILHer3qB_-CZ1z1A,etta - Bucktown,1034,4.5,3,41.910731,-87.674285,1840 W North Ave,Chicago,IL,US,60622,"Pizza, American (New), Breakfast & Brunch"
805,VPJk-SEWSWS_nGoQvM-COw,Penumbra,849,5.0,2,41.924426,-87.710898,3309 W Fullerton Ave,Chicago,IL,US,60647,"Wine Bars, Seafood, Steakhouses"
806,PZe0q_153VHUnaR-8dOTJg,The Dearborn,2143,4.5,2,41.8842528,-87.6293151,145 N Dearborn St,Chicago,IL,US,60602,"American (Traditional), Breakfast & Brunch, Beer, Wine & Spirits"
807,0qW7MJ0trxnoWzCHBiBgbQ,Union,51,4.5,3,41.9218,-87.69769,2202 N California Ave,Chicago,IL,US,60647,"American (New), Pubs"
808,zm6Peew9j8YtowzUu4sQfA,The Whale Chicago,915,4.0,2,41.92555,-87.70112,2427 N Milwaukee Ave,Chicago,IL,US,60647,American (New)
809,0ucCbCekcn5XdzvRXnHl2w,Desert Hawk,9,5.0,3,41.90288666670101,-87.67917606979607,2049 W Division St,Chicago,IL,US,60622,"American (Traditional), Bars"
810,VIV1fLOzjtzBeQwJBPIN2w,Lone Owl Pub,18,4.5,3,41.90976697949441,-87.67605189999999,1547 N Milwaukee Ave,Chicago,IL,US,60622,"Cocktail Bars, Lounges, Burgers"
811,wfkj7DK8YzhdwhhFc2OntA,Giant,640,4.5,3,41.9171,-87.70746,3209 W Armitage Ave,Chicago,IL,US,60647,"American (New), Beer Bar, Wine Bars"
812,ngB0iQM1Yz7Nx_tQZqU7NA,Daisies,441,4.5,3,41.924443845390954,-87.69964666704485,2375 N Milwaukee Ave,Chicago,IL,US,60647,"Pasta Shops, American (New), Cocktail Bars"
813,0IYXh7l_VppKw5y97FehoA,Kasama,640,4.5,2,41.899692,-87.6756,1001 N Winchester Ave,Chicago,IL,US,60622,"Filipino, Bakeries, American (New)"
814,ERYEi0job-Kwca1lkOcRhg,NoodleBird,75,4.5,3,41.93194357461772,-87.7023888774715,2957 W Diversey,Chicago,IL,US,60647,"Asian Fusion, Noodles"
815,HuB9hjq-X4LEEqxN2RhAVw,Kama,11,4.5,3,41.90971,-87.676833,1560 N Milwaukee Ave,Chicago,IL,US,60622,"Indian, Beer Bar, Cocktail Bars"
816,HaX1xkisTWetyKUkuBAzzQ,Mother’s Ruin,66,4.5,2,41.93495,-87.71647,2943 N Milwaukee Ave,Chicago,IL,US,60618,"American (New), Burgers, Cocktail Bars"
817,4i1Ny2zIE1VJSU9gLMkHqg,Lula Cafe,2179,4.5,2,41.927668036295,-87.706845233929,2537 N Kedzie Blvd,Chicago,IL,US,60647,"American (New), Breakfast & Brunch, Desserts"
818,D3tJ-N85kZddAwetQHTpkQ,Dell Rooster - Chicago,97,5.0,2,41.89575636351244,-87.67324000597,1825 W Chicago Ave,Chicago,IL,US,60622,"Latin American, Breakfast & Brunch, Sandwiches"
819,qUhMEd8oDAwGqBEF9mNKFQ,Andros Taverna,305,4.0,3,41.92733834914246,-87.7049751842139,2542 N Milwaukee,Chicago,IL,US,60647,"Greek, Mediterranean, Seafood"
820,hBb2RcUVumohfY2kbGKvKQ,Hide+Seek,140,4.0,3,41.88466,-87.64899,838 W Randolph St,Chicago,IL,US,60607,"American (New), Venues & Event Spaces, Cocktail Bars"
821,8XNGM8f0QLSOqDEactfigA,Split-Rail,295,4.5,2,41.8959276538074,-87.6895823702216,2500 W Chicago Ave,Chicago,IL,US,60622,"American (Traditional), Cocktail Bars, Chicken Wings"
822,iOMvXQYFl6_mtw0wX6ZUXw,Forbidden Root,586,4.5,2,41.89628,-87.671551,1746 W Chicago Ave,Chicago,IL,US,60622,"Brewpubs, Tapas/Small Plates, Cocktail Bars"
823,b2N01JkMCWNYy1D2uH341A,Wazwan - Chicago,117,4.5,2,41.90354,-87.67166,1742 W Division St,Chicago,IL,US,60607,"Indian, Halal"
824,m5gfWEQI7BYTKWMYF-X-Ug,No Vacancy,50,4.5,2,41.89115,-87.63375,509 N Wells St,Chicago,IL,US,60654,"American (New), Wine Bars, Beer, Wine & Spirits"
825,IqJKz6-IBIbcfUcotMXO8Q,Cafe Istanbul,278,4.5,2,41.9034987,-87.6778866,2014 W Division St,Chicago,IL,US,60622,"Turkish, Mediterranean"
826,xJEA6P6VS-Ukl9dmjleDkw,Silli Kori,342,4.5,2,41.90286,-87.67935,2053 W Division St,Chicago,IL,US,60622,"Thai, Asian Fusion"
827,faOpq9ORL0FlsMrou2NYug,Amaru,379,4.5,3,41.910699,-87.675507,1904 W North Ave,Chicago,IL,US,60622,"Latin American, Caribbean, Cocktail Bars"
828,bQDXNksi5lQ4YRv0kGSzjQ,The Welcome Back Lounge,82,4.5,2,41.92549,-87.701022,2423 N Milwaukee Ave,Chicago,IL,US,60647,"Bars, American (Traditional)"
829,f3mkFF9TW4nSSCmHw3N97A,Testaccio,136,4.5,3,41.9265,-87.6978,2456 N California Ave,Chicago,IL,US,60647,"Italian, Mediterranean"
830,OLLCYpaF_cWzrZ-Hd7FYMQ,Lardon,111,4.5,2,41.921891836367266,-87.69749321372282,2200 N California Ave,Chicago,IL,US,60647,"Cafes, Sandwiches, Wine Bars"
831,V2jEs7sH44pcG1J9x59f9w,Dove's Luncheonette,745,4.0,2,41.909487,-87.677293,1545 N Damen Ave,Chicago,IL,US,60622,"Southern, Tex-Mex, Breakfast & Brunch"
832,CGz_5rdiR6RQdmScqS0XcA,1308 Chicago,24,5.0,3,41.90591,-87.65993,1308 N Elston Ave,Chicago,IL,US,60642,"American (New), Comfort Food, Cocktail Bars"
833,xoi7Cw7FoknAx5p880RtWQ,Au Cheval,8607,4.5,2,41.88466,-87.647668,800 W Randolph St,Chicago,IL,US,60607,"Bars, American (Traditional)"
834,T4j4q9Z3OFTTBA39Uv6lLA,Bad Habit,10,4.5,3,41.9188328905871,-87.68991989999999,2047 N Milwaukee Ave,Chicago,IL,US,60647,"Cocktail Bars, Burgers"
835,xFBQ1md6PDm7YEpJARoxAA,The VIG Chicago,778,4.0,2,41.9099251,-87.6345035,1527 N Wells St,Chicago,IL,US,60610,"American (Traditional), Cocktail Bars"
836,umw3lIhc_h9DUGjN0DklxQ,The Delta,459,4.0,2,41.91032,-87.67186,1745 W North Ave,Chicago,IL,US,60622,"Southern, Cocktail Bars, Breakfast & Brunch"
837,kUpqpEqkBjZguS1uA6NQYA,En Hakkore 2.0,571,4.5,2,41.90859268098761,-87.67442096514347,1467 N Milwaukee Ave,Chicago,IL,US,60622,"Asian Fusion, Poke, Sushi Bars"
838,FzYi3AVHoYZnWXe1BQrQEw,Mott St,945,4.0,2,41.9071254164458,-87.6673834605751,1401 N Ashland Ave,Chicago,IL,US,60622,"Asian Fusion, Bars"
839,r4V4cl1TGN2C_qC51YpEMA,Barcocina West Town,68,4.0,3,41.896263,-87.672913,1814 W Chicago Ave,Chicago,IL,US,60622,"Tacos, New Mexican Cuisine, Tapas/Small Plates"
840,riT822EnU7y_5eCuJsd9sA,Cindy's Rooftop,2270,4.0,2,41.8816894031196,-87.6250061730162,12 S Michigan Ave,Chicago,IL,US,60603,"American (New), Seafood, Breakfast & Brunch"
841,m5_GCJP2W4zEJnyVgxa3eA,Longman & Eagle,2560,4.0,2,41.930156679293,-87.707222394898,2657 N Kedzie Ave,Chicago,IL,US,60647,"Gastropubs, Whiskey Bars"
842,dro6ttzG0H2PlES0gI8LIg,Tortello,405,4.5,2,41.90343739642855,-87.67186413269891,1746 W Division St,Chicago,IL,US,60622,"Pasta Shops, Italian"
843,ruWJerAc9VW23GvegYddnQ,Gaijin,604,4.5,2,41.88583,-87.65182,950 W Lake St,Chicago,IL,US,60607,Japanese
844,DeNcVk-vHsRj2f7aovoaLg,Jack’s Wicker Park,68,4.0,3,41.90346,-87.67947,2056 W Division St,Chicago,IL,US,60622,"French, Bars, Sandwiches"
845,XHGWwHgX9p8dn2nOhqfJoQ,Little Wok Wicker Park,109,4.0,2,41.90351,-87.6768,1950 W Division St,Chicago,IL,US,60622,"Asian Fusion, Chinese, Sushi Bars"
846,KVXeukiPVOwrOMuD4mM7ug,Tandoor Char House,12,4.5,3,41.90009,-87.68733,1022 N Western Ave,Chicago,IL,US,60622,"Indian, Pakistani, Halal"
847,8YZUf9XTc9Z2jW5adHE5nA,Shabu Plus Rotary Hot Pot Wicker Park,73,4.5,3,41.9062306,-87.6713937,1352 N Milwaukee Ave,Chicago,IL,US,60622,Hot Pot
848,EYjyi_lytYaM1Ty7-kNKSg,Phodega,245,4.5,2,41.90334127310094,-87.6758734,1924 W Division St,Chicago,IL,US,60622,"Vietnamese, Hainan, Noodles"
849,UzksnYYQvh2tThSGTqUslA,2AM Izakaya,31,4.5,3,41.92228,-87.64465,2218 N Lincoln Ave,Chicago,IL,US,60614,"Japanese, Sushi Bars, Chinese"
850,qjnpkS8yZO8xcyEIy5OU9A,Girl & The Goat,9964,4.5,3,41.88418081770163,-87.64794679938692,809 W Randolph,Chicago,IL,US,60607,"American (New), Bakeries, Coffee & Tea"
851,boE4Ahsssqic7o5wQLI04w,The Purple Pig,8287,4.5,3,41.890694,-87.624782,444 N Michigan Ave,Chicago,IL,US,60611,"Tapas/Small Plates, Mediterranean, American (New)"
852,okaqMJEoHfHblpKz9Q-CMA,The Perch,454,4.5,2,41.90348,-87.676221,1932 W Division,Chicago,IL,US,60622,"Breweries, American (New)"
853,hMNHD9LHs_R3vFCfTOGorw,Izakaya Shinya,63,4.5,3,41.91014,-87.68452,2255 W North Ave,Chicago,IL,US,60647,"Ramen, Cocktail Bars, Izakaya"
854,W2QV6SILHer3qB_-CZ1z1A,etta - Bucktown,1034,4.5,3,41.910731,-87.674285,1840 W North Ave,Chicago,IL,US,60622,"Pizza, American (New), Breakfast & Brunch"
855,VPJk-SEWSWS_nGoQvM-COw,Penumbra,849,5.0,2,41.924426,-87.710898,3309 W Fullerton Ave,Chicago,IL,US,60647,"Wine Bars, Seafood, Steakhouses"
856,PZe0q_153VHUnaR-8dOTJg,The Dearborn,2143,4.5,2,41.8842528,-87.6293151,145 N Dearborn St,Chicago,IL,US,60602,"American (Traditional), Breakfast & Brunch, Beer, Wine & Spirits"
857,0qW7MJ0trxnoWzCHBiBgbQ,Union,51,4.5,3,41.9218,-87.69769,2202 N California Ave,Chicago,IL,US,60647,"American (New), Pubs"
858,zm6Peew9j8YtowzUu4sQfA,The Whale Chicago,915,4.0,2,41.92555,-87.70112,2427 N Milwaukee Ave,Chicago,IL,US,60647,American (New)
859,0ucCbCekcn5XdzvRXnHl2w,Desert Hawk,9,5.0,3,41.90288666670101,-87.67917606979607,2049 W Division St,Chicago,IL,US,60622,"American (Traditional), Bars"
860,VIV1fLOzjtzBeQwJBPIN2w,Lone Owl Pub,18,4.5,3,41.90976697949441,-87.67605189999999,1547 N Milwaukee Ave,Chicago,IL,US,60622,"Cocktail Bars, Lounges, Burgers"
861,wfkj7DK8YzhdwhhFc2OntA,Giant,640,4.5,3,41.9171,-87.70746,3209 W Armitage Ave,Chicago,IL,US,60647,"American (New), Beer Bar, Wine Bars"
862,ngB0iQM1Yz7Nx_tQZqU7NA,Daisies,441,4.5,3,41.924443845390954,-87.69964666704485,2375 N Milwaukee Ave,Chicago,IL,US,60647,"Pasta Shops, American (New), Cocktail Bars"
863,0IYXh7l_VppKw5y97FehoA,Kasama,640,4.5,2,41.899692,-87.6756,1001 N Winchester Ave,Chicago,IL,US,60622,"Filipino, Bakeries, American (New)"
864,ERYEi0job-Kwca1lkOcRhg,NoodleBird,75,4.5,3,41.93194357461772,-87.7023888774715,2957 W Diversey,Chicago,IL,US,60647,"Asian Fusion, Noodles"
865,HuB9hjq-X4LEEqxN2RhAVw,Kama,11,4.5,3,41.90971,-87.676833,1560 N Milwaukee Ave,Chicago,IL,US,60622,"Indian, Beer Bar, Cocktail Bars"
866,HaX1xkisTWetyKUkuBAzzQ,Mother’s Ruin,66,4.5,2,41.93495,-87.71647,2943 N Milwaukee Ave,Chicago,IL,US,60618,"American (New), Burgers, Cocktail Bars"
